housing_type,deposit_amount,monthly_rent,area_m2,build_year,deal_year,deal_month,umd_nm,jibun,rent_gbn,contract_type,lawd_cd,region_label,region_group,sido,is_accident
아파트,400000000,0,59.04,1994.0,2025,6,방화동,832,,,11500,서울 강서구,고위험,서울특별시,0
아파트,400000000,0,59.04,1994.0,2025,6,방화동,832,,,11500,서울 강서구,고위험,서울특별시,0
아파트,346000000,0,59.4,1995.0,2025,6,방화동,796,,,11500,서울 강서구,고위험,서울특별시,0
아파트,750000000,0,84.92,2014.0,2025,6,마곡동,735,,,11500,서울 강서구,고위험,서울특별시,0
아파트,340000000,0,58.65,1992.0,2025,6,가양동,1485,,,11500,서울 강서구,고위험,서울특별시,0
아파트,235000000,0,23.93,2018.0,2025,6,화곡동,899-31,,,11500,서울 강서구,고위험,서울특별시,0
아파트,640000000,0,59.9825,2017.0,2025,6,마곡동,748,,,11500,서울 강서구,고위험,서울특별시,0
아파트,209470000,0,39.6,1992.0,2025,6,가양동,1485,,,11500,서울 강서구,고위험,서울특별시,0
아파트,550000000,0,59.9825,2017.0,2025,6,마곡동,748,,,11500,서울 강서구,고위험,서울특별시,0
아파트,630000000,0,89.975,1995.0,2025,6,등촌동,694,,,11500,서울 강서구,고위험,서울특별시,0
아파트,750000000,0,84.95,2014.0,2025,6,마곡동,736,,,11500,서울 강서구,고위험,서울특별시,0
아파트,420000000,0,59.84,2008.0,2025,6,내발산동,749,,,11500,서울 강서구,고위험,서울특별시,0
아파트,340000000,0,58.14,1995.0,2025,6,등촌동,695,,,11500,서울 강서구,고위험,서울특별시,0
아파트,300000000,0,56.88,1988.0,2025,6,화곡동,351-89,,,11500,서울 강서구,고위험,서울특별시,0
아파트,236000000,0,23.93,2018.0,2025,6,화곡동,899-31,,,11500,서울 강서구,고위험,서울특별시,0
아파트,260000000,0,41.85,1994.0,2025,6,등촌동,707,,,11500,서울 강서구,고위험,서울특별시,0
아파트,450000000,0,59.84,2023.0,2025,6,내발산동,765,,,11500,서울 강서구,고위험,서울특별시,0
아파트,220000000,0,39.6,1993.0,2025,6,가양동,1490,,,11500,서울 강서구,고위험,서울특별시,0
아파트,550000000,0,84.9881,2017.0,2025,6,마곡동,748,,,11500,서울 강서구,고위험,서울특별시,0
아파트,340000000,0,58.65,1992.0,2025,6,가양동,1485,,,11500,서울 강서구,고위험,서울특별시,0
아파트,280000000,0,39.6,1992.0,2025,6,가양동,1485,,,11500,서울 강서구,고위험,서울특별시,0
아파트,277600000,0,49.5,1992.0,2025,6,가양동,1485,,,11500,서울 강서구,고위험,서울특별시,0
아파트,372000000,0,84.97,2004.0,2025,6,방화동,579,,,11500,서울 강서구,고위험,서울특별시,0
아파트,480000000,0,59.97,1999.0,2025,6,가양동,448-9,,,11500,서울 강서구,고위험,서울특별시,0
아파트,700000000,0,84.97,2021.0,2025,6,마곡동,744,,,11500,서울 강서구,고위험,서울특별시,0
아파트,300000000,0,49.77,1994.0,2025,6,방화동,814,,,11500,서울 강서구,고위험,서울특별시,0
아파트,470000000,0,59.98,2005.0,2025,6,내발산동,657,,,11500,서울 강서구,고위험,서울특별시,0
아파트,250000000,0,34.44,1993.0,2025,6,가양동,1490,,,11500,서울 강서구,고위험,서울특별시,0
아파트,470000000,0,59.94,1999.0,2025,6,염창동,262-2,,,11500,서울 강서구,고위험,서울특별시,0
아파트,750000000,0,84.92,2014.0,2025,6,마곡동,735,,,11500,서울 강서구,고위험,서울특별시,0
아파트,274000000,0,59.98,1993.0,2025,6,마곡동,422,,,11500,서울 강서구,고위험,서울특별시,0
아파트,520000000,0,84.53,2008.0,2025,6,내발산동,756,,,11500,서울 강서구,고위험,서울특별시,0
아파트,260000000,0,39.96,1994.0,2025,6,방화동,841,,,11500,서울 강서구,고위험,서울특별시,0
아파트,420000000,0,80.64,1994.0,2025,6,등촌동,691-3,,,11500,서울 강서구,고위험,서울특별시,0
아파트,220000000,0,39.76,1993.0,2025,6,방화동,839,,,11500,서울 강서구,고위험,서울특별시,0
아파트,300000000,0,39.6,1992.0,2025,6,가양동,1485,,,11500,서울 강서구,고위험,서울특별시,0
아파트,546000000,0,59.6202,2023.0,2025,6,등촌동,727,,,11500,서울 강서구,고위험,서울특별시,0
아파트,940000000,0,114.98,2014.0,2025,6,마곡동,743,,,11500,서울 강서구,고위험,서울특별시,0
아파트,220000000,0,34.44,1992.0,2025,6,가양동,1461,,,11500,서울 강서구,고위험,서울특별시,0
아파트,167860000,0,33.18,1993.0,2025,6,방화동,839,,,11500,서울 강서구,고위험,서울특별시,0
아파트,630000000,0,59.9825,2017.0,2025,6,마곡동,748,,,11500,서울 강서구,고위험,서울특별시,0
아파트,400000000,0,59.04,1994.0,2025,6,방화동,832,,,11500,서울 강서구,고위험,서울특별시,0
아파트,560000000,0,84.93,2004.0,2025,6,염창동,298,,,11500,서울 강서구,고위험,서울특별시,0
아파트,560000000,0,84.93,2004.0,2025,6,염창동,298,,,11500,서울 강서구,고위험,서울특별시,0
아파트,170000000,0,34.44,1992.0,2025,6,가양동,1461,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,830000000,0,114.86,2014.0,2025,6,마곡동,750,,갱신,11500,서울 강서구,고위험,서울특별시,0
아파트,565000000,0,84.358,2001.0,2025,6,염창동,282,,갱신,11500,서울 강서구,고위험,서울특별시,0
아파트,350000000,0,49.5,1992.0,2025,6,가양동,1485,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,270000000,0,39.6,1992.0,2025,6,가양동,1461,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,600000000,0,84.96,2007.0,2025,6,내발산동,751,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,550000000,0,59.9825,2017.0,2025,6,마곡동,748,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,714000000,0,101.87,2005.0,2025,6,내발산동,657,,갱신,11500,서울 강서구,고위험,서울특별시,0
아파트,600000000,0,103.92,2002.0,2025,6,화곡동,1091,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,400000000,0,49.56,1992.0,2025,6,가양동,1461,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,550000000,0,84.99,1993.0,2025,6,가양동,1460,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,530000000,0,78.6,1998.0,2025,6,염창동,290,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,530000000,0,78.6,1998.0,2025,6,염창동,290,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,750000000,0,84.92,2014.0,2025,6,마곡동,735,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,430000000,0,59.14,2019.0,2025,6,가양동,235-4,,갱신,11500,서울 강서구,고위험,서울특별시,0
아파트,940000000,0,114.98,2014.0,2025,6,마곡동,743,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,260000000,0,39.6,1992.0,2025,6,가양동,1485,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,340000000,0,58.65,1992.0,2025,6,가양동,1485,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,560000000,0,84.512,2002.0,2025,6,내발산동,728,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,420000000,0,84.99,1993.0,2025,6,방화동,793,,갱신,11500,서울 강서구,고위험,서울특별시,0
아파트,450000000,0,66.37,2006.0,2025,6,가양동,1497,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,280000000,0,39.6,1994.0,2025,6,방화동,814,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,300000000,0,41.85,1994.0,2025,6,등촌동,687,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,635000000,0,59.99,2015.0,2025,6,화곡동,1165,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,615000000,0,84.98,2004.0,2025,6,염창동,297,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,393590000,0,80.65,2008.0,2025,6,마곡동,1360,,갱신,11500,서울 강서구,고위험,서울특별시,0
아파트,700000000,0,144.123,2002.0,2025,6,화곡동,1091,,갱신,11500,서울 강서구,고위험,서울특별시,0
아파트,400000000,0,59.04,1994.0,2025,6,방화동,832,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,525000000,0,84.99,2008.0,2025,6,마곡동,1525,,갱신,11500,서울 강서구,고위험,서울특별시,0
아파트,275000000,0,59.82,1995.0,2025,6,염창동,289,,갱신,11500,서울 강서구,고위험,서울특별시,0
아파트,270000000,0,39.6,1992.0,2025,6,가양동,1485,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,240000000,0,77.5,2003.0,2025,6,화곡동,887-11,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,535000000,0,59.98,2005.0,2025,6,내발산동,657,,갱신,11500,서울 강서구,고위험,서울특별시,0
아파트,480000000,0,49.77,2020.0,2025,6,등촌동,722,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,520000000,0,84.53,2008.0,2025,6,내발산동,756,,신규,11500,서울 강서구,고위험,서울특별시,0
아파트,400000000,0,80.64,1994.0,2025,6,등촌동,691-3,,갱신,11500,서울 강서구,고위험,서울특별시,0
