product,year,month,housing_type,sido,issue_cnt,issue_amt_won,yyyymm
전세보증금반환보증,2016,1,다가구주택,경기도,2.0,230000000,2016-01
전세보증금반환보증,2016,1,다가구주택,경상남도,1.0,70000000,2016-01
전세보증금반환보증,2016,1,다가구주택,대구광역시,1.0,100000000,2016-01
전세보증금반환보증,2016,1,다가구주택,대전광역시,1.0,200000000,2016-01
전세보증금반환보증,2016,1,다가구주택,서울특별시,6.0,985000000,2016-01
전세보증금반환보증,2016,1,다가구주택,전라북도,1.0,58750000,2016-01
전세보증금반환보증,2016,1,다세대주택,경기도,4.0,397500000,2016-01
전세보증금반환보증,2016,1,다세대주택,광주광역시,1.0,225000000,2016-01
전세보증금반환보증,2016,1,다세대주택,부산광역시,1.0,55000000,2016-01
전세보증금반환보증,2016,1,다세대주택,서울특별시,18.0,2862450000,2016-01
전세보증금반환보증,2016,1,다세대주택,인천광역시,1.0,90000000,2016-01
전세보증금반환보증,2016,1,단독주택,경기도,4.0,540000000,2016-01
전세보증금반환보증,2016,1,단독주택,서울특별시,3.0,355000000,2016-01
전세보증금반환보증,2016,1,단독주택,충청북도,1.0,110000000,2016-01
전세보증금반환보증,2016,1,아파트,강원도,2.0,270000000,2016-01
전세보증금반환보증,2016,1,아파트,경기도,278.0,60181600000,2016-01
전세보증금반환보증,2016,1,아파트,경상남도,15.0,2540200000,2016-01
전세보증금반환보증,2016,1,아파트,경상북도,9.0,1495000000,2016-01
전세보증금반환보증,2016,1,아파트,광주광역시,10.0,1829000000,2016-01
전세보증금반환보증,2016,1,아파트,대구광역시,41.0,8482250000,2016-01
전세보증금반환보증,2016,1,아파트,대전광역시,9.0,1579000000,2016-01
전세보증금반환보증,2016,1,아파트,부산광역시,41.0,8020800000,2016-01
전세보증금반환보증,2016,1,아파트,서울특별시,112.0,28089550000,2016-01
전세보증금반환보증,2016,1,아파트,세종특별자치시,1.0,130000000,2016-01
전세보증금반환보증,2016,1,아파트,울산광역시,8.0,1432500000,2016-01
전세보증금반환보증,2016,1,아파트,인천광역시,138.0,29948850000,2016-01
전세보증금반환보증,2016,1,아파트,전라북도,4.0,772500000,2016-01
전세보증금반환보증,2016,1,아파트,충청남도,12.0,2226750000,2016-01
전세보증금반환보증,2016,1,아파트,충청북도,7.0,1135000000,2016-01
전세보증금반환보증,2016,1,연립주택,서울특별시,2.0,430000000,2016-01
전세보증금반환보증,2016,1,연립주택,인천광역시,2.0,150000000,2016-01
전세보증금반환보증,2016,1,오피스텔,경기도,2.0,585000000,2016-01
전세보증금반환보증,2016,1,오피스텔,경상남도,1.0,140000000,2016-01
전세보증금반환보증,2016,1,오피스텔,부산광역시,1.0,210000000,2016-01
전세보증금반환보증,2016,1,오피스텔,서울특별시,2.0,207500000,2016-01
전세보증금반환보증,2016,1,오피스텔,인천광역시,1.0,128000000,2016-01
전세보증금반환보증,2016,2,다가구주택,경기도,4.0,680000000,2016-02
전세보증금반환보증,2016,2,다가구주택,서울특별시,1.0,150000000,2016-02
전세보증금반환보증,2016,2,다가구주택,인천광역시,2.0,310000000,2016-02
전세보증금반환보증,2016,2,다세대주택,경기도,6.0,730000000,2016-02
전세보증금반환보증,2016,2,다세대주택,서울특별시,12.0,1679000000,2016-02
전세보증금반환보증,2016,2,다세대주택,인천광역시,3.0,225000000,2016-02
전세보증금반환보증,2016,2,단독주택,경기도,3.0,543000000,2016-02
전세보증금반환보증,2016,2,단독주택,서울특별시,2.0,230000000,2016-02
전세보증금반환보증,2016,2,단독주택,충청북도,1.0,50000000,2016-02
전세보증금반환보증,2016,2,아파트,강원도,2.0,300000000,2016-02
전세보증금반환보증,2016,2,아파트,경기도,563.0,1.31E+11,2016-02
전세보증금반환보증,2016,2,아파트,경상남도,18.0,2746250000,2016-02
전세보증금반환보증,2016,2,아파트,경상북도,20.0,3861000000,2016-02
전세보증금반환보증,2016,2,아파트,광주광역시,11.0,2014300000,2016-02
전세보증금반환보증,2016,2,아파트,대구광역시,86.0,17258500000,2016-02
전세보증금반환보증,2016,2,아파트,대전광역시,17.0,2868000000,2016-02
전세보증금반환보증,2016,2,아파트,부산광역시,50.0,8511000000,2016-02
전세보증금반환보증,2016,2,아파트,서울특별시,179.0,45782940000,2016-02
전세보증금반환보증,2016,2,아파트,세종특별자치시,3.0,400000000,2016-02
전세보증금반환보증,2016,2,아파트,울산광역시,17.0,3358000000,2016-02
전세보증금반환보증,2016,2,아파트,인천광역시,495.0,1.02E+11,2016-02
전세보증금반환보증,2016,2,아파트,전라남도,1.0,79000000,2016-02
전세보증금반환보증,2016,2,아파트,전라북도,3.0,415000000,2016-02
전세보증금반환보증,2016,2,아파트,충청남도,19.0,3444250000,2016-02
전세보증금반환보증,2016,2,아파트,충청북도,7.0,1340000000,2016-02
전세보증금반환보증,2016,2,연립주택,경기도,1.0,80000000,2016-02
전세보증금반환보증,2016,2,연립주택,서울특별시,3.0,592500000,2016-02
전세보증금반환보증,2016,2,오피스텔,경기도,3.0,645000000,2016-02
전세보증금반환보증,2016,2,오피스텔,대구광역시,1.0,90000000,2016-02
전세보증금반환보증,2016,2,오피스텔,서울특별시,1.0,90000000,2016-02
전세보증금반환보증,2016,2,오피스텔,인천광역시,1.0,100000000,2016-02
전세보증금반환보증,2016,3,다가구주택,경기도,9.0,1305000000,2016-03
전세보증금반환보증,2016,3,다가구주택,대구광역시,2.0,140000000,2016-03
전세보증금반환보증,2016,3,다가구주택,대전광역시,1.0,65000000,2016-03
전세보증금반환보증,2016,3,다가구주택,서울특별시,8.0,1322500000,2016-03
전세보증금반환보증,2016,3,다가구주택,인천광역시,2.0,205000000,2016-03
전세보증금반환보증,2016,3,다세대주택,경기도,8.0,985000000,2016-03
전세보증금반환보증,2016,3,다세대주택,대구광역시,1.0,116100000,2016-03
전세보증금반환보증,2016,3,다세대주택,부산광역시,2.0,200000000,2016-03
전세보증금반환보증,2016,3,다세대주택,서울특별시,20.0,3295100000,2016-03
전세보증금반환보증,2016,3,다세대주택,인천광역시,1.0,45000000,2016-03
전세보증금반환보증,2016,3,단독주택,경기도,6.0,885000000,2016-03
전세보증금반환보증,2016,3,단독주택,경상남도,4.0,285000000,2016-03
전세보증금반환보증,2016,3,단독주택,부산광역시,3.0,270000000,2016-03
전세보증금반환보증,2016,3,단독주택,서울특별시,5.0,862500000,2016-03
전세보증금반환보증,2016,3,단독주택,인천광역시,2.0,230000000,2016-03
전세보증금반환보증,2016,3,단독주택,제주특별자치도,1.0,100000000,2016-03
전세보증금반환보증,2016,3,아파트,강원도,2.0,225000000,2016-03
전세보증금반환보증,2016,3,아파트,경기도,868.0,2.12E+11,2016-03
전세보증금반환보증,2016,3,아파트,경상남도,32.0,5243750000,2016-03
전세보증금반환보증,2016,3,아파트,경상북도,29.0,4679850000,2016-03
전세보증금반환보증,2016,3,아파트,광주광역시,11.0,2060000000,2016-03
전세보증금반환보증,2016,3,아파트,대구광역시,88.0,16915500000,2016-03
전세보증금반환보증,2016,3,아파트,대전광역시,25.0,4547750000,2016-03
전세보증금반환보증,2016,3,아파트,부산광역시,52.0,9175100000,2016-03
전세보증금반환보증,2016,3,아파트,서울특별시,237.0,56301250000,2016-03
전세보증금반환보증,2016,3,아파트,세종특별자치시,3.0,720000000,2016-03
전세보증금반환보증,2016,3,아파트,울산광역시,10.0,1950000000,2016-03
전세보증금반환보증,2016,3,아파트,인천광역시,313.0,63639950000,2016-03
전세보증금반환보증,2016,3,아파트,전라남도,4.0,587500000,2016-03
전세보증금반환보증,2016,3,아파트,전라북도,10.0,1500500000,2016-03
전세보증금반환보증,2016,3,아파트,충청남도,27.0,3782750000,2016-03
전세보증금반환보증,2016,3,아파트,충청북도,4.0,700000000,2016-03
전세보증금반환보증,2016,3,연립주택,경기도,3.0,650000000,2016-03
전세보증금반환보증,2016,3,연립주택,서울특별시,6.0,1081500000,2016-03
전세보증금반환보증,2016,3,오피스텔,경기도,3.0,675000000,2016-03
전세보증금반환보증,2016,3,오피스텔,대구광역시,1.0,96000000,2016-03
전세보증금반환보증,2016,3,오피스텔,부산광역시,2.0,395000000,2016-03
전세보증금반환보증,2016,3,오피스텔,서울특별시,4.0,670000000,2016-03
전세보증금반환보증,2016,4,다가구주택,경기도,14.0,2323000000,2016-04
전세보증금반환보증,2016,4,다가구주택,경상북도,1.0,5000000,2016-04
전세보증금반환보증,2016,4,다가구주택,대전광역시,1.0,75000000,2016-04
전세보증금반환보증,2016,4,다가구주택,서울특별시,5.0,632500000,2016-04
전세보증금반환보증,2016,4,다가구주택,인천광역시,1.0,110000000,2016-04
전세보증금반환보증,2016,4,다가구주택,제주특별자치도,1.0,180000000,2016-04
전세보증금반환보증,2016,4,다세대주택,경기도,17.0,1704500000,2016-04
