adm_cd,sido,sigungu,accident_cnt,accident_amt_won,accident_rate_pct,is_summary,basis
,전국,소계,1374,251954350000,1.6,1,보증사고 '25.8월 최근3개월 평균
,수도권,소계,959,186764950000,1.4,1,보증사고 '25.8월 최근3개월 평균
,지방,소계,415,65189400000,2.0,1,보증사고 '25.8월 최근3개월 평균
11000,서울,소계,318,71856130000,1.3,1,보증사고 '25.8월 최근3개월 평균
11110,서울,종로구,3,527000000,1.0,0,보증사고 '25.8월 최근3개월 평균
11140,서울,중구,2,350000000,0.4,0,보증사고 '25.8월 최근3개월 평균
11170,서울,용산구,5,1290000000,0.7,0,보증사고 '25.8월 최근3개월 평균
11200,서울,성동구,1,300000000,0.2,0,보증사고 '25.8월 최근3개월 평균
11215,서울,광진구,10,2350000000,1.4,0,보증사고 '25.8월 최근3개월 평균
11230,서울,동대문구,9,2033690000,1.0,0,보증사고 '25.8월 최근3개월 평균
11260,서울,중랑구,24,4903750000,3.3,0,보증사고 '25.8월 최근3개월 평균
11290,서울,성북구,5,1445500000,0.8,0,보증사고 '25.8월 최근3개월 평균
11305,서울,강북구,6,1365000000,1.5,0,보증사고 '25.8월 최근3개월 평균
11320,서울,도봉구,8,1600000000,1.3,0,보증사고 '25.8월 최근3개월 평균
11350,서울,노원구,6,1396750000,0.6,0,보증사고 '25.8월 최근3개월 평균
11380,서울,은평구,6,1752000000,0.6,0,보증사고 '25.8월 최근3개월 평균
11410,서울,서대문구,7,1682000000,1.2,0,보증사고 '25.8월 최근3개월 평균
11440,서울,마포구,4,760000000,0.3,0,보증사고 '25.8월 최근3개월 평균
11470,서울,양천구,18,4477000000,1.8,0,보증사고 '25.8월 최근3개월 평균
11500,서울,강서구,84,18031270000,2.9,0,보증사고 '25.8월 최근3개월 평균
11530,서울,구로구,21,4129400000,2.1,0,보증사고 '25.8월 최근3개월 평균
11545,서울,금천구,9,1556000000,1.0,0,보증사고 '25.8월 최근3개월 평균
11560,서울,영등포구,30,7456770000,1.8,0,보증사고 '25.8월 최근3개월 평균
11590,서울,동작구,5,1111000000,0.6,0,보증사고 '25.8월 최근3개월 평균
11620,서울,관악구,16,4199500000,2.7,0,보증사고 '25.8월 최근3개월 평균
11650,서울,서초구,5,1573500000,0.8,0,보증사고 '25.8월 최근3개월 평균
11680,서울,강남구,5,1585000000,0.6,0,보증사고 '25.8월 최근3개월 평균
11710,서울,송파구,16,3253500000,0.8,0,보증사고 '25.8월 최근3개월 평균
11740,서울,강동구,13,2727500000,1.1,0,보증사고 '25.8월 최근3개월 평균
41000,경기,소계,397,77126330000,1.3,1,보증사고 '25.8월 최근3개월 평균
41111,경기,수원장안구,1,256000000,0.4,0,보증사고 '25.8월 최근3개월 평균
41113,경기,수원권선구,8,1590800000,1.4,0,보증사고 '25.8월 최근3개월 평균
41115,경기,수원팔달구,2,287000000,0.6,0,보증사고 '25.8월 최근3개월 평균
41117,경기,수원영통구,12,1920500000,0.8,0,보증사고 '25.8월 최근3개월 평균
41131,경기,성남수정구,0,0,0.0,0,보증사고 '25.8월 최근3개월 평균
