sigungu_full,victim_house_cnt,year,period_note,sido_short,sigungu
강원 속초시,2,2023,2023년(23.7.~),강원,속초시
강원 홍천군,1,2023,2023년(23.7.~),강원,홍천군
경기 가평군,1,2023,2023년(23.7.~),경기,가평군
경기 광명시,2,2023,2023년(23.7.~),경기,광명시
경기 광주시,7,2023,2023년(23.7.~),경기,광주시
경기 구리시,5,2023,2023년(23.7.~),경기,구리시
경기 군포시,10,2023,2023년(23.7.~),경기,군포시
경기 김포시,4,2023,2023년(23.7.~),경기,김포시
경기 남양주시,2,2023,2023년(23.7.~),경기,남양주시
경기 시흥시,2,2023,2023년(23.7.~),경기,시흥시
경기 양주시,2,2023,2023년(23.7.~),경기,양주시
경기 여주시,1,2023,2023년(23.7.~),경기,여주시
경기 오산시,3,2023,2023년(23.7.~),경기,오산시
경기 의왕시,1,2023,2023년(23.7.~),경기,의왕시
경기 의정부시,4,2023,2023년(23.7.~),경기,의정부시
경기 이천시,4,2023,2023년(23.7.~),경기,이천시
경기 파주시,6,2023,2023년(23.7.~),경기,파주시
경기 평택시,1,2023,2023년(23.7.~),경기,평택시
경기 하남시,8,2023,2023년(23.7.~),경기,하남시
경남 김해시,1,2023,2023년(23.7.~),경남,김해시
경남 양산시,1,2023,2023년(23.7.~),경남,양산시
경남 진주시,2,2023,2023년(23.7.~),경남,진주시
경북 청도군,1,2023,2023년(23.7.~),경북,청도군
고양시 덕양구,2,2023,2023년(23.7.~),고양시,덕양구
고양시 일산동구,3,2023,2023년(23.7.~),고양시,일산동구
고양시 일산서구,3,2023,2023년(23.7.~),고양시,일산서구
광주시 남구,1,2023,2023년(23.7.~),광주시,남구
광주시 동구,2,2023,2023년(23.7.~),광주시,동구
광주시 서구,1,2023,2023년(23.7.~),광주시,서구
대구시 달서구,5,2023,2023년(23.7.~),대구시,달서구
대구시 동구,2,2023,2023년(23.7.~),대구시,동구
대구시 북구,4,2023,2023년(23.7.~),대구시,북구
대구시 수성구,1,2023,2023년(23.7.~),대구시,수성구
